IATA,ICAO,Airport
AAC,HEAR,El Arish Intl Airport
AAE,DABB,Annaba - El Mellah Airport
AAL,EKYT,Aalborg Airport
AAM,FAMD,Malamala
AAN,OMAL,Al Ain Intl
AAO,SVAN,Anaco
AAQ,URKA,Vityazevo Airport
AAR,EKAH,Aarhus Airport
AAT,ZWAT,Altay Airport
AAV,RPMA,Allah Valley Airport
AAY,OYGD,Al-Ghaidah
AAZ,MGQZ,Quezaltenango Airport
ABC,LEAB,Albacete Airport (Mil./Civil)
ABD,OIAA,Abadan Airport
ABE,KABE,Lehigh Valley Intl Airport
ABH,YAPH,Alpha Airport
ABI,KABI,Abilene Regional Airport
ABJ,DIAP,Felix Houphouet-Boigny
ABK,HAKD,Kebri Dehar
ABO,TJAB,Antonio Juarbe Pol Airport
ABQ,KABQ,Albuquerque Intl Sunport
ABR,KABR,Aberdeen Regional Airport
ABS,HEBL,Abu Simbel Airport
ABT,OEBA,al-Baha Domestic Airport
ABV,DNAA,Nnamdi Azikiwe
ABX,YMAY,Albury Airport
ABY,KABY,Southwest Georgia Regional Airport
ABZ,EGPD,Aberdeen Airport
ACA,MMAA,General Juan N. Alvarez Intl Airport
ACC,DGAA,Kotoka Intl Airport
ACE,GCRR,Lanzarote Airport (Arrecife Airport)
ACH,LSZR,St Gallen - Altenrhein
ACI,EGJA,Alderney Airport
ACK,KACK,Nantucket Memorial Airport
ACR,SKAC,Araracuara
ACT,KACT,Waco Regional Airport
ACV,KACV,Arcata Airport
ACY,KACY,Atlantic City Intl Airport
ACZ,OIZB,Zabol Airport
ADA,LTAF,Adana Airport
ADB,LTBJ,Izmir Adnan Menderes Airport
ADD,HAAB,Addis Abeba Bole Intl Airport
ADE,OYAA,Aden Intl
ADF,LTCP,Adiyaman Airport
ADH,UEAA,Aldan Airport
ADI,FYAR,Arandis
ADJ,OJAM,Marka Intl
ADL,YPAD,Adelaide Intl Airport
ADP,VCCA,Anuradhapura
ADQ,PADQ,Kodiak Airport
ADU,OITL,Ardabil Airport
AEH,FTTC,Abeche
AEO,GQNA,Aioun-El-Atrouss
AEP,SABE,Aeroparque Jorge Newbery
AES,ENAL,Alesund Airport
AEX,KAEX,Alexandria Intl Airport
AEY,BIAR,Akureyri Airport
AFA,SAMR,Suboficial Aytes Germano Airport
AFD,FAPA,Port Alfred
AGA,GMAD,Al-Massira
AGB,EDMA,Augsburg
AGE,EDWG,Wangerooge
AGF,LFBA,Agen - La Garenne Airport
AGH,ESTA,Angelholm
AGJ,RORA,Aguni Airport
AGM,BGAM,Angmagssalik Airport
AGP,LEMG,Malaga Airport
AGR,VIAG,Agra Airport (Mil./Civil)
AGS,KAGS,Augusta Regional Airport at Bush Field
AGU,MMAS,Lic. Jesus Teran Peredo Intl Airport
AGV,SVAC,Oswaldo Guevara Mujica
AGX,VOAT,Agatti Aerodrome
AHB,OEAB,Abha Regional Airport
AHL,SYAH,Aishalton
AHN,KAHN,Athens-Ben Epps Airport
AHO,LIEA,Alghero Airport
AHU,GMTA,Cherif Al Idrissi
AIG,FEFY,Yalinga
AIT,NCAI,Avarua
AJA,LFKJ,Campo Dell Oro Airport
AJF,OESK,al-Jouf Domestic Airport
AJI,LTCO,Agri Airport
AJJ,GQNJ,Akjoujt
AJL,VELP,Lengpui Airport
AJN,FMCV,Ouani
AJR,ESNX,Arvidsjaur
AJU,SBAR,Santa Maria Airport
AJY,DRZA,Manu Dayak
AKD,VAAK,Akola Airport
AKF,HLKF,Kufra
AKJ,RJEC,Asahikawa Airport
AKL,NZAA,Auckland Intl Airport
AKN,PAKN,King Salmon Airport
AKR,DNAK,Akure
AKU,ZWAK,Aksu Airport
AKV,CYKO,Akulivik
AKX,UATT,Aktyubinsk
AKY,VYSW,Sittwe
ALA,UAAA,Almaty
ALB,KALB,Albany Intl Airport
ALC,LEAL,Alicante Airport
ALD,SPAR,Alerta
ALF,ENAT,Alta Airport
ALG,DAAG,Algiers - Houari Boumediene Airport
ALH,YABA,Albany Airport
ALJ,FAAB,Alexander Bay
ALL,LIMG,Villanova d'Albenga Intl Airport (C. Panero Airport)
ALO,KALO,Waterloo Regional Airport
ALP,OSAP,Aleppo Intl
ALR,NZLX,Alexandra
ALU,HCMA,Alula
ALW,KALW,Walla Walla Regional Airport
ALY,HEAX,Alexandria Intl Airport
AMA,KAMA,Rick Husband Amarillo Intl Airport
AMB,FMNE,Ambilobe
AMC,FTTN,Am-Timan
AMD,VAAH,Sardar Vallabhbhai Patel Intl Airport
AMH,HAAM,Arba Minch
AMI,WRRA,Selaparang Airport
AMM,OJAI,Queen Alia Intl
AMO,FTTU,Mao
AMP,FMSY,Ampanihy
AMQ,WAPP,Pattimura Airport
AMS,EHAM,Amsterdam Schiphol Airport
AMV,ULDD,Amderma Airport
ANC,PANC,Ted Stevens Anchorage Intl Airport
ANE,LFJR,Angers Loire Aeroport Airport
ANF,SCFA,Cerro Moreno Intl
ANG,LFBU,Angouleme - Brie Champniers Airport
ANI,PANI,Aniak Airport
ANJ,FCBZ,Zanaga
ANM,FMNH,Antsirabato
ANO,FQAG,Angoche
ANR,EBAW,Deurne Airport
ANS,SPHY,Andahuaylas
ANU,TAPA,VC Bird Intl Airport
ANX,ENAN,Andoya Airport
AOC,EDAC,Altenburg-Nobitz
AOE,LTBY,Eskisehir Anadolu Airport
AOG,ZYAS,Anshan Airport
AOI,LIPY,Ancona Falconara Airport (Raffaello Sanzio Airport)
AOJ,RJSA,Aomori Airport
AOK,LGKP,Karpathos Island National Airport
AOO,KAOO,Altoona-Blair County Airport
AOR,WMKA,Sultan Abdul Halim
AOT,LIMW,Aosta Airport (Corrado Gex Airport)
AOU,VLAP,Attopeu
APB,SLAP,Apolo
APF,KAPF,Naples Municipal Airport
APL,FQNP,Nampula
APN,KAPN,Alpena County Regional Airport
AQB,MGQC,Quiche Airport
AQG,ZSAQ,Anqing Airport
AQJ,OJAQ,Aqaba Intl
AQP,SPQU,Rodriguez Ballon
ARH,ULAA,Talagi Airport
ARI,SCAR,Chacalluta Intl
ARK,HTAR,Arusha
ARM,YARM,Armidale Airport
ARN,ESSA,Arlanda
ARR,SAVR,Alto Rio Senguer Airport
ARW,LRAR,Arad Intl Airport
ARY,YARA,Ararat Airport
ARZ,FNZE,N'zeto
ASB,UTAA,Ashgabat
ASD,MYAF,Andros Town Intl Airport
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field)
ASF,URWA,Astrakhan Airport
ASG,NZAS,Ashburton
ASJ,RJKA,Amami Airport
ASK,DIYO,Yamoussoukro
ASO,HASO,Asosa
ASP,YBAS,Alice Springs Airport
ASR,LTAU,Kayseri Erkilet Intl Airport
ASU,SGAS,Asuncion Silvio Pettirossi Int
ASV,HKAM,Amboseli
ASW,HESN,Aswan Intl Airport
ATA,SPHZ,Comandante German Arias Grazz*
ATB,HSAT,Atbara
ATC,MYCA,Arthurs Town Airport
ATF,SEAM,Chachoan
ATH,LGAV,Athens Intl Airport (Eleftherios Venizelos)
ATI,SUAG,Artigas Intl
ATJ,FMME,Antsirabe
ATL,KATL,Hartsfield-Jackson Atlanta Intl Airport
ATQ,VIAR,Sri Guru Ram Dass Jee Intl Airport
ATR,GQPA,Atar
ATV,FTTI,Ati
ATW,KATW,Outagamie County Regional Airport
ATZ,HEAT,Asyut Intl Airport
AUA,TNCA,Queen Beatrix Intl Airport
AUC,SKUC,Santiago Perez
AUC,LFDH,Auch - Lamothe Airport
AUF,LFLA,Auxerre - Branches Airport
AUH,OMAA,Abu Dhabi Intl
AUR,LFLW,Aurillac Airport
AUS,KAUS,Austin-Bergstrom Intl Airport
AVI,MUCA,Maximo Gomez Intl Airport
AVK,ZMAH,Arvaikheer
AVL,KAVL,Asheville Regional Airport
AVN,LFMV,Avignon Airport
AVP,KAVP,Wilkes-Barre/Scranton Intl Airport
AVV,YAVV,Avalon Airport
AWA,HALA,Awasa
AWZ,OIAW,Ahwaz Airport
AXA,TQPF,Anguilla Wallblake
AXD,LGAL,Alexandroupolis Intl Airport (Dimokritos)
AXK,OYAT,Ataq
AXM,SKAR,El Eden
AXP,MYAP,Spring Point Airport
AXT,RJSK,Akita Airport
AXU,HAAX,Axum
AYN,ZHAY,Anyang Airport
AYP,SPHO,Col Alfredo Mendivil Duarte
AYQ,YAYE,Ayers Rock Airport
AYT,LTAI,Antalya Airport
AZD,OIYY,Shahid Sadooghi Airport
AZI,OMAD,Bateen
AZO,KAZO,Kalamazoo/Battle Creek Intl Airport
AZR,DAUA,Adrar - Touat-Ch Sidi Mohamed Belkebir Airport
AZZ,FNAM,Ambriz
BAG,RPUB,Loakan Airport
BAH,OBBI,Bahrain Intl Airport
BAI,MRBA,Buenos Aires Airport
BAK,UBBB,Bina
BAL,LTCJ,Batman Airport
BAN,FZVR,Basongo
BAQ,SKBQ,Ernesto Cortissoz
BAV,ZBOW,Baotou Airport
BAX,UNBB,Barnaul Airport
BAY,LRBM,Baia Mare Airport
BBA,SCBA,Balmaceda
BBG,NGTU,Butaritari
BBH,EDBH,Ostseeflughafen Stralsund-Barth
BBI,VEBS,Biju Patnaik Airport
BBK,FBKE,Kasane
BBM,VDBG,Battambang
